time	F1	B1	F2	B2
0.025	1240.46	594.62	2168.13	768.42
0.026	1250.10	647.49	2165.26	821.49
0.027	1265.18	718.69	2167.80	901.24
0.028	1286.49	802.50	2174.41	1019.45
0.029	1311.86	877.15	2186.55	1179.41
0.030	1330.70	906.22	2215.20	1347.37
0.031	1328.50	873.06	2278.12	1442.09
0.032	1306.83	799.00	2370.43	1411.79
0.033	1279.25	712.19	2461.01	1278.29
0.034	1256.02	630.72	2520.99	1105.30
0.035	1242.02	562.82	2547.77	958.99
0.036	1238.77	509.29	2553.68	860.08
0.037	1245.28	466.37	2545.36	800.49
0.038	1258.44	429.81	2525.57	767.36
0.039	1274.20	398.71	2497.25	750.79
0.040	1289.39	375.80	2464.05	746.89
0.041	1302.65	364.77	2428.58	756.93
0.042	1314.00	368.27	2390.71	783.76
0.043	1323.99	388.11	2346.73	828.74
0.044	1333.03	426.56	2289.70	888.52
0.045	1341.34	487.86	2212.67	949.85
0.046	1349.22	579.69	2115.80	989.43
0.047	1357.21	715.03	2009.61	987.64
0.048	1363.75	915.77	1909.06	936.28
0.049	1355.42	1203.31	1835.11	839.97
0.050	1321.04	1552.04	1799.49	752.01
0.051	1277.38	1959.29	1781.07	701.90
0.052	1229.52	2473.86	1766.13	675.77
0.053	1154.77	3188.02	1750.39	660.65
0.054	858.88	4415.34	1732.74	649.20
0.055	1713.91	637.96	3173.14	1033.78
0.056	1695.93	627.07	3038.80	1026.26
0.057	1680.84	620.05	2939.40	939.42
0.058	1669.95	621.70	2880.64	845.33
0.059	1664.43	635.91	2849.44	770.31
0.060	1665.92	665.05	2835.66	718.09
0.061	1676.52	710.09	2833.19	687.86
0.062	1698.13	770.18	2839.12	679.19
0.063	1731.25	841.91	2853.08	692.46
0.064	1773.37	920.38	2877.03	728.25
0.065	1818.22	1003.60	2915.75	785.39
0.066	404.73	3538.34	1858.43	1098.91
0.067	1237.56	2322.36	1896.39	1224.16
0.068	1397.54	1534.15	1962.96	1336.28
0.069	1431.99	1138.20	2008.13	1324.96
0.070	1460.97	929.89	2006.05	1292.57
0.071	1488.53	808.38	1988.53	1271.14
0.072	1510.22	737.64	1977.01	1254.20
0.073	1521.85	703.89	1982.42	1226.87
0.074	1519.80	701.12	2007.73	1173.57
