time(s)	Intensity(dB)
0.032	50.70
0.033	50.52
0.034	50.37
0.035	50.34
0.036	50.35
0.037	50.38
0.038	50.47
0.039	50.63
0.040	50.77
0.041	50.89
0.042	51.01
0.043	51.17
0.044	51.29
0.045	51.37
0.046	51.47
0.047	51.60
0.048	51.75
0.049	51.88
0.050	52.01
0.051	52.12
0.052	52.24
0.053	52.37
0.054	52.54
0.055	52.70
0.056	52.83
0.057	52.94
0.058	53.05
0.059	53.13
0.060	53.22
0.061	53.29
0.062	53.37
0.063	53.43
0.064	53.48
0.065	53.52
0.066	53.51
0.067	53.50
0.068	53.52
0.069	53.56
0.070	53.61
0.071	53.67
0.072	53.75
0.073	53.84
0.074	53.93
0.075	53.98
0.076	53.97
0.077	53.95
0.078	53.93
0.079	53.93
0.080	53.92
0.081	53.90
0.082	53.84
0.083	53.75
0.084	53.64
0.085	53.51
0.086	53.35
0.087	53.18
0.088	53.00
0.089	52.84
0.090	52.69
0.091	52.57
0.092	52.48
0.093	52.43
0.094	52.30
0.095	52.16
0.096	52.07
0.097	52.07
0.098	52.14
0.099	52.25
0.100	52.41
0.101	52.58
0.102	52.71
0.103	52.75
0.104	52.72
0.105	52.66
0.106	52.61
0.107	52.56
0.108	52.54
0.109	52.52
0.110	52.46
0.111	52.37
0.112	52.26
0.113	52.18
0.114	52.16
0.115	52.22
0.116	52.33
0.117	52.41
0.118	52.41
0.119	52.38
0.120	52.34
0.121	52.33
0.122	52.40
0.123	52.54
0.124	52.68
0.125	52.83
0.126	52.96
0.127	53.07
0.128	53.16
0.129	53.24
0.130	53.34
0.131	53.49
0.132	53.65
0.133	53.80
0.134	53.97
0.135	54.17
0.136	54.37
0.137	54.57
0.138	54.76
0.139	54.95
0.140	55.14
0.141	55.31
0.142	55.44
0.143	55.55
0.144	55.62
0.145	55.64
0.146	55.64
0.147	55.62
0.148	55.57
0.149	55.50
0.150	55.40
0.151	55.29
0.152	55.17
0.153	54.98
0.154	54.73
0.155	54.45
0.156	54.18
0.157	53.90
0.158	53.66
0.159	53.47
0.160	53.34
0.161	53.27
0.162	53.20
0.163	53.17
0.164	53.16
0.165	53.19
0.166	53.28
0.167	53.40
0.168	53.53
0.169	53.65
0.170	53.77
0.171	53.87
0.172	53.95
0.173	54.02
0.174	54.07
0.175	54.09
0.176	54.09
0.177	54.07
0.178	53.99
0.179	53.85
0.180	53.67
0.181	53.46
0.182	53.23
0.183	53.01
0.184	52.84
0.185	52.70
0.186	52.54
0.187	52.37
0.188	52.14
0.189	51.87
0.190	51.57
0.191	51.28
0.192	51.06
0.193	50.92
0.194	50.85
0.195	50.80
0.196	50.80
0.197	50.86
0.198	50.96
0.199	51.10
0.200	51.27
0.201	51.47
0.202	51.70
0.203	51.93
0.204	52.16
0.205	52.38
0.206	52.60
0.207	52.80
0.208	53.00
0.209	53.21
0.210	53.41
0.211	53.60
0.212	53.75
0.213	53.88
0.214	53.97
0.215	54.04
0.216	54.08
0.217	54.10
0.218	54.12
0.219	54.10
0.220	54.04
0.221	53.96
0.222	53.89
0.223	53.80
0.224	53.70
0.225	53.60
0.226	53.51
0.227	53.44
0.228	53.39
0.229	53.36
0.230	53.35
0.231	53.36
0.232	53.39
0.233	53.43
0.234	53.47
0.235	53.52
0.236	53.56
0.237	53.59
0.238	53.60
0.239	53.60
0.240	53.56
0.241	53.49
0.242	53.39
0.243	53.26
0.244	53.09
0.245	52.87
0.246	52.64
0.247	52.34
0.248	51.99
0.249	51.61
0.250	51.24
0.251	50.87
0.252	50.52
0.253	50.18
0.254	49.85
0.255	49.58
0.256	49.34
0.257	49.15
0.258	49.04
0.259	49.01
0.260	49.07
0.261	49.18
0.262	49.34
0.263	49.56
0.264	49.85
0.265	50.20
0.266	50.57
0.267	50.97
0.268	51.38
0.269	51.78
0.270	52.17
0.271	52.54
0.272	52.90
0.273	53.23
0.274	53.51
0.275	53.74
0.276	53.93
0.277	54.09
0.278	54.20
0.279	54.27
0.280	54.30
0.281	54.28
0.282	54.22
0.283	54.11
0.284	53.97
0.285	53.81
0.286	53.61
0.287	53.40
0.288	53.18
0.289	52.96
0.290	52.75
0.291	52.55
0.292	52.37
0.293	52.20
0.294	52.07
0.295	51.97
0.296	51.92
0.297	51.91
0.298	51.97
0.299	52.08
0.300	52.21
0.301	52.32
0.302	52.40
0.303	52.52
0.304	52.66
0.305	52.83
0.306	53.04
0.307	53.31
0.308	53.57
0.309	53.77
0.310	53.95
0.311	54.10
0.312	54.26
0.313	54.44
0.314	54.62
0.315	54.78
0.316	54.91
0.317	55.00
0.318	55.08
0.319	55.15
0.320	55.20
0.321	55.25
0.322	55.29
0.323	55.33
0.324	55.36
0.325	55.39
0.326	55.42
0.327	55.43
0.328	55.45
0.329	55.43
0.330	55.40
0.331	55.36
0.332	55.30
0.333	55.22
0.334	55.11
0.335	54.96
0.336	54.78
0.337	54.55
0.338	54.28
0.339	53.97
0.340	53.64
0.341	53.31
0.342	52.96
0.343	52.61
0.344	52.28
0.345	51.97
0.346	51.71
0.347	51.50
0.348	51.36
0.349	51.31
0.350	51.33
0.351	51.40
0.352	51.50
0.353	51.63
0.354	51.79
0.355	51.98
0.356	52.19
0.357	52.43
0.358	52.65
0.359	52.85
0.360	53.00
0.361	53.13
0.362	53.22
0.363	53.30
0.364	53.38
0.365	53.45
0.366	53.51
0.367	53.54
0.368	53.56
0.369	53.57
0.370	53.57
0.371	53.54
0.372	53.49
0.373	53.42
0.374	53.32
0.375	53.20
0.376	53.06
0.377	52.92
0.378	52.78
0.379	52.65
0.380	52.51
0.381	52.38
0.382	52.26
0.383	52.18
0.384	52.15
0.385	52.17
0.386	52.22
0.387	52.28
0.388	52.35
0.389	52.44
0.390	52.57
0.391	52.77
0.392	53.01
0.393	53.28
0.394	53.59
0.395	53.87
0.396	54.08
0.397	54.25
0.398	54.40
0.399	54.53
0.400	54.63
0.401	54.71
0.402	54.75
0.403	54.77
0.404	54.76
0.405	54.71
0.406	54.64
0.407	54.54
0.408	54.41
0.409	54.28
0.410	54.15
0.411	54.02
0.412	53.90
0.413	53.79
0.414	53.71
0.415	53.62
0.416	53.53
0.417	53.47
0.418	53.42
0.419	53.38
0.420	53.35
0.421	53.30
0.422	53.22
