Time	Pitch
0.040	--undefined--
0.041	--undefined--
0.042	--undefined--
0.043	--undefined--
0.044	--undefined--
0.045	--undefined--
0.046	--undefined--
0.047	--undefined--
0.048	--undefined--
0.049	--undefined--
0.050	--undefined--
0.051	--undefined--
0.052	--undefined--
0.053	--undefined--
0.054	--undefined--
0.055	--undefined--
0.056	--undefined--
0.057	--undefined--
0.058	--undefined--
0.059	--undefined--
0.060	--undefined--
0.061	--undefined--
0.062	--undefined--
0.063	--undefined--
0.064	--undefined--
0.065	--undefined--
0.066	--undefined--
0.067	--undefined--
0.068	--undefined--
0.069	--undefined--
0.070	--undefined--
0.071	--undefined--
0.072	--undefined--
0.073	--undefined--
0.074	--undefined--
0.075	--undefined--
0.076	--undefined--
0.077	--undefined--
0.078	--undefined--
0.079	--undefined--
0.080	--undefined--
0.081	--undefined--
0.082	--undefined--
0.083	--undefined--
0.084	--undefined--
0.085	--undefined--
0.086	--undefined--
0.087	--undefined--
0.088	--undefined--
0.089	--undefined--
0.090	--undefined--
0.091	--undefined--
0.092	--undefined--
0.093	--undefined--
0.094	--undefined--
0.095	--undefined--
0.096	--undefined--
0.097	--undefined--
0.098	--undefined--
0.099	--undefined--
0.100	--undefined--
0.101	--undefined--
0.102	--undefined--
0.103	--undefined--
0.104	--undefined--
0.105	--undefined--
0.106	--undefined--
0.107	--undefined--
0.108	--undefined--
0.109	--undefined--
0.110	--undefined--
0.111	--undefined--
0.112	--undefined--
0.113	--undefined--
0.114	--undefined--
0.115	--undefined--
0.116	--undefined--
0.117	--undefined--
0.118	--undefined--
0.119	--undefined--
0.120	--undefined--
0.121	--undefined--
0.122	--undefined--
0.123	--undefined--
0.124	--undefined--
0.125	--undefined--
0.126	--undefined--
0.127	--undefined--
0.128	--undefined--
0.129	--undefined--
0.130	--undefined--
0.131	--undefined--
0.132	--undefined--
0.133	--undefined--
0.134	--undefined--
0.135	--undefined--
0.136	--undefined--
0.137	--undefined--
0.138	--undefined--
0.139	--undefined--
0.140	--undefined--
0.141	--undefined--
0.142	--undefined--
0.143	--undefined--
0.144	--undefined--
0.145	--undefined--
0.146	--undefined--
0.147	--undefined--
0.148	--undefined--
0.149	--undefined--
0.150	--undefined--
0.151	--undefined--
0.152	--undefined--
0.153	--undefined--
0.154	--undefined--
0.155	--undefined--
0.156	--undefined--
0.157	--undefined--
0.158	--undefined--
0.159	--undefined--
0.160	--undefined--
0.161	--undefined--
0.162	--undefined--
0.163	--undefined--
0.164	--undefined--
0.165	--undefined--
0.166	--undefined--
0.167	--undefined--
0.168	--undefined--
0.169	--undefined--
0.170	--undefined--
0.171	--undefined--
0.172	--undefined--
0.173	--undefined--
0.174	--undefined--
0.175	--undefined--
0.176	--undefined--
0.177	--undefined--
0.178	--undefined--
0.179	--undefined--
0.180	--undefined--
0.181	--undefined--
0.182	--undefined--
0.183	--undefined--
0.184	--undefined--
0.185	--undefined--
0.186	--undefined--
0.187	--undefined--
0.188	--undefined--
0.189	--undefined--
0.190	--undefined--
0.191	--undefined--
0.192	--undefined--
0.193	--undefined--
0.194	--undefined--
0.195	--undefined--
0.196	--undefined--
0.197	--undefined--
0.198	--undefined--
0.199	--undefined--
0.200	--undefined--
0.201	--undefined--
0.202	--undefined--
0.203	--undefined--
0.204	--undefined--
0.205	--undefined--
0.206	--undefined--
0.207	--undefined--
0.208	--undefined--
0.209	--undefined--
0.210	--undefined--
0.211	--undefined--
0.212	--undefined--
0.213	--undefined--
0.214	--undefined--
0.215	--undefined--
0.216	--undefined--
0.217	--undefined--
0.218	--undefined--
0.219	--undefined--
0.220	--undefined--
0.221	--undefined--
0.222	--undefined--
0.223	--undefined--
0.224	--undefined--
0.225	--undefined--
0.226	--undefined--
0.227	--undefined--
0.228	--undefined--
0.229	--undefined--
0.230	--undefined--
0.231	--undefined--
0.232	--undefined--
0.233	--undefined--
0.234	--undefined--
0.235	--undefined--
0.236	--undefined--
0.237	--undefined--
0.238	--undefined--
0.239	--undefined--
0.240	--undefined--
0.241	--undefined--
0.242	--undefined--
0.243	--undefined--
0.244	--undefined--
0.245	--undefined--
0.246	--undefined--
0.247	--undefined--
0.248	--undefined--
0.249	--undefined--
0.250	--undefined--
0.251	--undefined--
0.252	--undefined--
0.253	--undefined--
0.254	--undefined--
0.255	--undefined--
0.256	--undefined--
0.257	--undefined--
0.258	--undefined--
0.259	--undefined--
0.260	--undefined--
0.261	--undefined--
0.262	--undefined--
0.263	--undefined--
0.264	--undefined--
0.265	--undefined--
0.266	--undefined--
0.267	--undefined--
0.268	--undefined--
0.269	--undefined--
0.270	--undefined--
0.271	--undefined--
0.272	--undefined--
0.273	--undefined--
0.274	--undefined--
0.275	--undefined--
0.276	--undefined--
0.277	--undefined--
0.278	--undefined--
0.279	--undefined--
0.280	--undefined--
0.281	--undefined--
0.282	--undefined--
0.283	--undefined--
0.284	--undefined--
0.285	--undefined--
0.286	--undefined--
0.287	--undefined--
0.288	--undefined--
0.289	--undefined--
0.290	--undefined--
0.291	--undefined--
0.292	--undefined--
0.293	--undefined--
0.294	--undefined--
0.295	--undefined--
0.296	--undefined--
0.297	--undefined--
0.298	--undefined--
0.299	--undefined--
0.300	--undefined--
0.301	--undefined--
0.302	--undefined--
0.303	--undefined--
0.304	--undefined--
0.305	--undefined--
0.306	--undefined--
0.307	--undefined--
0.308	--undefined--
0.309	--undefined--
0.310	--undefined--
0.311	--undefined--
0.312	--undefined--
0.313	--undefined--
0.314	--undefined--
0.315	--undefined--
0.316	--undefined--
0.317	--undefined--
0.318	--undefined--
0.319	--undefined--
0.320	--undefined--
0.321	--undefined--
0.322	--undefined--
0.323	--undefined--
0.324	--undefined--
0.325	--undefined--
0.326	--undefined--
0.327	--undefined--
0.328	--undefined--
0.329	--undefined--
0.330	--undefined--
0.331	--undefined--
0.332	--undefined--
0.333	--undefined--
0.334	--undefined--
0.335	--undefined--
0.336	--undefined--
0.337	--undefined--
0.338	--undefined--
0.339	--undefined--
0.340	--undefined--
0.341	--undefined--
0.342	--undefined--
0.343	--undefined--
0.344	--undefined--
0.345	--undefined--
0.346	--undefined--
0.347	--undefined--
0.348	--undefined--
0.349	--undefined--
0.350	--undefined--
0.351	--undefined--
0.352	--undefined--
0.353	--undefined--
0.354	--undefined--
0.355	--undefined--
0.356	--undefined--
0.357	--undefined--
0.358	--undefined--
0.359	--undefined--
0.360	--undefined--
0.361	--undefined--
0.362	--undefined--
0.363	--undefined--
0.364	--undefined--
0.365	--undefined--
0.366	--undefined--
0.367	--undefined--
0.368	--undefined--
0.369	--undefined--
0.370	--undefined--
0.371	--undefined--
0.372	--undefined--
0.373	--undefined--
0.374	--undefined--
0.375	--undefined--
0.376	--undefined--
0.377	--undefined--
0.378	--undefined--
0.379	--undefined--
0.380	--undefined--
0.381	--undefined--
0.382	--undefined--
0.383	--undefined--
0.384	--undefined--
0.385	--undefined--
0.386	--undefined--
0.387	--undefined--
0.388	--undefined--
0.389	--undefined--
0.390	--undefined--
0.391	--undefined--
0.392	--undefined--
0.393	--undefined--
0.394	--undefined--
0.395	--undefined--
0.396	--undefined--
0.397	--undefined--
0.398	--undefined--
0.399	--undefined--
0.400	--undefined--
0.401	--undefined--
0.402	--undefined--
0.403	--undefined--
0.404	--undefined--
0.405	--undefined--
0.406	--undefined--
0.407	--undefined--
0.408	--undefined--
0.409	--undefined--
0.410	--undefined--
0.411	--undefined--
0.412	--undefined--
0.413	--undefined--
0.414	--undefined--
0.415	--undefined--
0.416	--undefined--
0.417	--undefined--
0.418	--undefined--
0.419	--undefined--
0.420	--undefined--
0.421	--undefined--
0.422	--undefined--
0.423	--undefined--
0.424	--undefined--
0.425	--undefined--
0.426	--undefined--
0.427	--undefined--
0.428	--undefined--
0.429	--undefined--
0.430	--undefined--
0.431	--undefined--
0.432	--undefined--
0.433	--undefined--
0.434	--undefined--
0.435	--undefined--
0.436	--undefined--
0.437	--undefined--
0.438	--undefined--
0.439	--undefined--
0.440	--undefined--
0.441	--undefined--
0.442	--undefined--
0.443	--undefined--
0.444	--undefined--
0.445	--undefined--
0.446	--undefined--
0.447	--undefined--
0.448	--undefined--
0.449	--undefined--
0.450	--undefined--
0.451	--undefined--
0.452	--undefined--
0.453	--undefined--
0.454	--undefined--
0.455	--undefined--
0.456	--undefined--
0.457	--undefined--
0.458	--undefined--
0.459	--undefined--
0.460	--undefined--
0.461	--undefined--
0.462	--undefined--
0.463	--undefined--
0.464	--undefined--
0.465	--undefined--
0.466	--undefined--
0.467	--undefined--
0.468	--undefined--
0.469	--undefined--
0.470	--undefined--
0.471	--undefined--
0.472	--undefined--
0.473	--undefined--
0.474	--undefined--
0.475	--undefined--
0.476	--undefined--
0.477	--undefined--
0.478	--undefined--
0.479	--undefined--
0.480	--undefined--
0.481	--undefined--
0.482	--undefined--
0.483	--undefined--
0.484	--undefined--
0.485	--undefined--
0.486	--undefined--
0.487	--undefined--
0.488	--undefined--
0.489	--undefined--
0.490	--undefined--
0.491	--undefined--
0.492	--undefined--
0.493	--undefined--
0.494	--undefined--
0.495	--undefined--
0.496	--undefined--
0.497	--undefined--
0.498	--undefined--
0.499	--undefined--
0.500	--undefined--
0.501	--undefined--
0.502	--undefined--
0.503	--undefined--
0.504	--undefined--
0.505	--undefined--
0.506	--undefined--
0.507	--undefined--
0.508	--undefined--
0.509	--undefined--
0.510	--undefined--
0.511	--undefined--
0.512	--undefined--
0.513	--undefined--
0.514	--undefined--
0.515	--undefined--
0.516	--undefined--
0.517	--undefined--
0.518	--undefined--
0.519	--undefined--
0.520	--undefined--
0.521	--undefined--
0.522	--undefined--
0.523	--undefined--
0.524	--undefined--
0.525	--undefined--
0.526	--undefined--
0.527	--undefined--
0.528	--undefined--
0.529	--undefined--
0.530	--undefined--
0.531	--undefined--
0.532	--undefined--
0.533	--undefined--
0.534	--undefined--
0.535	--undefined--
0.536	--undefined--
0.537	--undefined--
0.538	--undefined--
0.539	--undefined--
0.540	--undefined--
0.541	--undefined--
0.542	--undefined--
0.543	--undefined--
0.544	--undefined--
0.545	--undefined--
0.546	--undefined--
0.547	--undefined--
0.548	--undefined--
